No;Nama_Ruas;Jalan_Utama;Jalan_Akses;BUJT;Tahun_Beroperasi
1;Jakarta-Bogor-Ciawi;50;9;PT Jasa Marga (Persero) Tbk.;1978
2;Jakarta - Tangerang;27;6;PT Jasa Marga (Persero) Tbk.;1983 - 1998
3;Surabaya - Gempol;43;6;PT Jasa Marga (Persero) Tbk.;1984
4;Jakarta - Cikampek;72;11;PT Jasa Marga (Persero) Tbk.;1985
5;Padalarang - Cileunyi;35.64;28.77;PT Jasa Marga (Persero) Tbk.;1986
6;Prof DR. Soedyatmo;14.3;;PT Jasa Marga (Persero) Tbk.;1986
7;Lingkar Dalam Kota Jakarta;23.55;;PT Jasa Marga (Persero) Tbk.;1988
8;Belmera;33.7;9;PT Jasa Marga (Persero) Tbk.;1989 & 1996
9;Semarang Seksi A B C;24.75;;PT Jasa Marga (Persero) Tbk.;1987 1983 & 1998
10;Ulujami - Pondok Aren;5.55;;PT Jasa Marga (Persero) Tbk.;2001
11;Palimanan - Kanci;26.3;;PT Jasa Marga (Persero) Tbk.;1998
12;JORR Selatan (Pondok Pinang - Taman Mini);14.25;;PT Jasa Marga (Persero) Tbk.;1995 - 1996
13;JORR W2 Selatan (Pondok Pinang - Veteran);6.2;;PT Jasa Marga (Persero) Tbk.;1991
14;JORR E1 Selatan (Taman Mini - Hankam Raya);4;;PT Jasa Marga (Persero) Tbk.;1998
15;JORR E1 Utara (Hankam Raya - Cikunir);8.1;;PT Jasa Marga (Persero) Tbk.;2005
16;JORR E2 (Cikunir - Cakung);9.07;;PT Jasa Marga (Persero) Tbk.;2001 - 2003
17;JORR E3 (Cakung-Cilincing);3.75;;PT Jasa Marga (Persero) Tbk.;2005
18;Cikampek - Padalarang;58.5;;PT Jasa Marga (Persero) Tbk.;2005
19;Jembatan Surabaya-Madura (Suramadu);20.9;;PT Jasa Marga (Persero) Tbk.;2009
20;Tangerang-Merak;73;;PT Marga Mandala Sakti;1987 - 1996
21;Ir. Wiyoto Wiyono MSc.;15.5;;PT Citra Marga Nusaphala Persada Tbk.;1990
22;Harbour Road;11.5;;PT Citra Marga Nusaphala Persada Tbk.;1995 - 1996
23;Surabaya - Gresik;20.7;;PT Margabumi Matraraya;1993 - 1996
24;Ujung Pandang Tahap I;6.05;;PT Bosawa Marga Nusantara;1998
25;Serpong - Pondok Aren;7.25;;PT Bintaro Serpong Damai;1999
26;SS Waru - Bandara Juanda;12.8;;PT Citra Margatama Surabaya;2008
27;Makassar Seksi IV;11.6;;PT Jalan Tol Seksi Empat;2008
28;Bogor Ring Road Seksi I dan IIA;5.8;;PT Marga Sarana Jabar;2009 - 2014
29;Kanci - Pejagan;35;;PT Semesta Marga Raya;2010
30;JORR W1;9.85;;PT Jakarta Lingkar Baratsatu;2010
31;Surabaya - Mojokerto Seksi IA;1.89;;PT Marga Nujyasumo Agung;2011
32;Semarang - Solo Seksi I dan II;22.95;;PT Trans Marga Jateng;2011
33;Cinere - Jagorawi Seksi I;3.7;;PT Translingkar Kita Jaya;2012
34;Nusa Dua - Ngurah Rai - Benoa (Bali Mandara);10;;PT Jasa Marga Bali Tol;2013
35;JORR W2 Utara;7.87;;PT Marga Lingkar Jakarta;2013-2014
36;Kertosono - Mojokerto Seksi I;14.41;;PT Marga Harjaya Infrastruktur;2014
37;Gempol - Pandaan;12.05;;PT Jasa Marga Pandaan Tol;2015
38;Cikopo - Palimanan;116.75;;PT Lintas Marga Sedaya;2015
x;Jumlah Dioperasikan Oleh PT Jasa Marga;480.56;69.77;;
xx;Jumlah Dioperasikan Oleh Investor Swasta;398.67;0;;
xxx;Jumlah Jalan Utama & Jalan Akses;949;;;
